lyrics,genre
yesterday father take end time_to let_go spirit cold tear leave_to cry never change i_make my_mind the_end i_go my_dream alone i_let push away reason end pain way,rock
music desire gonna set your_soul yo hit sweet lie bed right next time shame die you_get to_hear oh_no cold sun sun,pop
yeah ya ya cause yo big little i_put clear talkin get train land to_get blood style i_put blow round nigga say damn listen close learn real black shit make the_world make_a nigga wanna black young nigga,hip hop
get word say i_feel i_feel today get_a get_a everything_i cause_i make cause_i make cause_i make mistake yeah people like_you fire yeah people like_you fire yeah people like_you fire people like_you burn yeah and_get bad yeah back belong you_get get_a get_a hold cause_you lie lie lie my_face something,electronic
let_me know_if hear it_feel cold alone need sun and_i_know i_know_i know alone hard_to tell let_me know go can_feel breathe please breathe breathe breathe time_to go start show space,pop
shit nigga way girl use_to turn back cause arm like_i would say cause tell_me nigga smoke always pack one let_me know shit nigga fuck bitch bitch bitch eat bitch forget eat fuck fuck bitch and_get leave bitch nigga pay lay one night_and pay save em bitch well save bitch nigga bitch bitch hit bitch bitch,hip hop
i_remember your_head catch flame kiss brain i_remember your_head catch flame well laugh baby okay well laugh baby okay head inside live good ride knee pull people see living ride knee pull my_eye song play sometimes hot sweet taste my_eye song men try_to tell u lose easy blue good,pop
black path side step everybody think the_one first come shame secret your_face speak truth shake nothing leave_to prove always always promise close close always always get you_want you_need,pop
the_wind rain heat you_see i_get nowhere else to_go home sweet home this_world a_long hard road know the_way home sweet home people pass wish_i would way deep bone look_for home home sweet home this_world a_long hard road know the_way home sweet home oh lay my_head two soul come along to_find back belong,rock
pray drink fight my_head hide hide smile hide like_i try try fail gonna let_me gonna let_me you_know you_get time low piece like peace thing you_get get cause drive fly deny cry drown you_say stand line wait late work call_me girl without i_would try_to break,pop
sometimes word talk really hurt everybody talk loud no_one listen sometimes word talk really hurt space come u grow great day put party best past pass the_way sometimes word talk really hurt you_find the_one hurt bad you_need heal sure i_know may human man two yes men look way two empty you_turn three the_wind begin war cold want_to win,rock
you_see love thought become game thing cannot buy i_get ask run back fool i_find change my_mind you_see face love love wait_for love love,pop
shine shine like_a star dream take_me far far_away bright call i_feel room today no_one else shine my_life light the_way weak i_feel go i_feel room today no_one else shine shine shine shine shine shine like_a star dream take_me far far_away bright show u the_way call,pop
save remember find last oh baby good together never worry i_see come u i_find without your_love a_little child the_world come_on baby say too_late i_know time enough we_get save save stay close me_cause the_sky come_on baby come_on save save save,pop
send door you_really care ah let_me set free oh call mirror you_want so_much gonna ah you_really care know let_me set free to_say you_know much nothing still nothing u turn oh_oh ah ah ah run round this_world too_much girl pretend to_see kill understand your_love give_me so_much hope fall would_you today pay tomorrow fuck big sorrow ah oh sorrow sorrow ah oh_oh sorrow ah ah ah,indie rock
every i_get_a little lonely never come round every i_get_a little the_sound tear every i_get_a little go every i_get_a little your_eye bright eye every fall apart bright every fall apart tonight hold_me tight hold_on forever make_it right cause never_be wrong together can_take the_end_of your_love shadow the_time the_time always in_the_dark living give tonight gonna start tonight gonna start tonight,heavy metal
day thing change away get_to get thing right sometimes happen fast nothin seem_to last start mine turn get_a face like_a child get_a mind like_a woman smile warm i_hear the_people say_that stay might bring nobody ever know_what never see_you cry turn_to break free you_want get_to see turn_to break free you_know you_want life get_to mean,heavy metal
never too_late forever love_me leave_me take_my heart come rain time feeling inside open your_heart love shine to_get touch i_think give_me sign and_get close i_wanna dream come true the_light get close i_wanna hold_you i_wanna hold_you tight bad day wrong way love have_come go take_my heart,pop
girl and_you_know true you_know true you_know true girl girl true yeah get_it baby never ever let_the money stop try_to fuck money come wanna pull to_say something baby back try_to fuck my_life to_get money baby long night wake_up new check fuck my_life a_new city light drug try_to hit_the tryna fuck nigga life fuck nigga life tryna fuck nigga tell_you baby please stop tryna money fuck nigga life new new show next take_the door take_the woah money come fast,hip hop
the_word the_street i_know to_feel you_say cause party give_me nothing chance bad thing spread round let_it go turn tell_me tell_me nothin bad thing spread round let_it go turn way come round tell_me turn even care they_say even care they_say even care they_say say say say yeah word the_street i_love_you you_like reach cause,electronic
listen back shit might many nigga gon wear i_think love shit come nothin real dream dog gotta open your_eye this_world fill put shit blood brother bad feelin tryna run love ya love go show em man shit one mistake boy i_make shit never let nigga close fuck fuck mama boy i_want dog nigga step you_like music fuckin nigga like_a damn fuck shit new high,hip hop
waste my_time rest my_mind never sad bad day five mind spend my_time the_fire side warm light love mind spend my_time the_fire side warm light love eye,rock
oh pretty baby get_me change word pretty lady get_me to_hear ya tell_me you_want i_give get open your_eye see throw key living breathe living you_get think_that pretty baby give_me,electronic
tell_me they_say everyone see feel fear key life escape i_need help hand so_far home leave alone you_hear cry you_hear cry i_find the_end i_say help hand i_say cry,heavy metal
black cloud in_the_sky follow the_end_of time win leave_me alone in_the_sky the_dark shadow the_night the_day die cold night my_eye sorrow deep inside oh dark the_light follow empty life old die sun light weak light be_go too_late to_say i_feel die sun time light soon be_go please shine one last time one last time try_to face the_truth try_to live time_to leave the_past behind the_night,metal
carry room the_night fill music old song fill heart_and soul like long see_the kid spirit every golden child tonight change the_wind see_the kid see shin bright beyond fight see_the kid five hundred dry you_say story tell die give u give u hope send u home voice bone,rock
run run look_for get_the need spend spend well i_want i_get well throw whole low throw whole low run heat run run money way fast run nothing leave_to eat run run whole low run living run take_it easy run run run run push can_take the_edge fight back_to nothing ah you_never get_me beat run run heat run whole low run whole low run living run easy run,rock
take_the money take_the money the_edge wake_up wonder name wanna wait i_take last long worry control u hard feeling you_know take_you away take ride i_get_a well smoke eye come go right my_heart gonna give_me i_think right well i_think you_like i_get_a hair nothing well,rock
you_turn around ask behind tear i_see please cry i_know sometimes get you_see to_get cold i_need you_give love_you give_me love_and hope be_go i_feel i_go pick you_give love_you give_me i_never tell_you my_eye oh baby let_me tell_you look every way you_say enough,rock
hey_hey hey_hey hey mama look_at little back like_this hey_hey hey_hey hey look_at hey_hey hey_hey look_at little gonna say stop little gettin carry away hey_hey hey look_at little hey_hey hey_hey look_at little like_a tree like_a hey_hey hey look_at little hey_hey hey_hey look_at little like_a tree like_a hey_hey hey look_at little hey_hey hey_hey look_at little gonna say stop little gettin carry away hey_hey hey look_at little hey_hey hey_hey look_at little,rock
night_and crash party night_and crash car night throw believe even get far look you_see the_shadow oh baby_you belong yeah place cause_i get_a good feeling hey lookin like_a you_walk right walk mile lose your_mind you_get mind gonna shoot i_get gun i_gotta get_a good one hard like_a fly like_a like_a tight high hope like_a stone oh i_gotta try step right,rock
well miss walk kiss get_me bad baby dream girl you_think bed never hold_me you_like good your_head make_me evil angel dead dream girl evil dream girl dream girl evil dream girl well make_you sad every girl mad make_me make_me you_know_i well take_it,pop
brother day shall lay war brother day shall lay war brother day shall lay war brother day shall lay war brother day shall lay war,electronic
sky white tree since stand you_feel cold alone yet the_wind blow blow fall angel dream try_to make sense see let_it go let_it go soul let_it go let_it go wound spirit soul fall angel let_it go believe see thing your_life turn_to dawn still thought you_feel lose alone wonder carry your_life long see let_it go let_it go soul let_it go let_it go wound spirit soul fall angel let_it go believe see thing your_life fall angel make mistake live your_life let_it go let_it go soul let_it go let_it go wound spirit soul fall angel let_it go believe see thing your_life wound spirit soul fall angel let_it go believe see thing your_life let_it go let_it go soul let_it go soul let_it go let_it go soul let_it go let_it go,pop
wing u watch u u this_world u wing u u u lose even wing u heal pain make u the_day help u find_a way wing u i_feel touch never let_go can_feel your_soul wing u die you_come carry home meet king wing u keep head high keep spirit alive open arm rise,metal
maybe make_it the_night feel maybe good else my_mind turn my_heart become maybe seem_to mind oh yesterday yeah the_light one time use_to shine you_make think feel you_know your_heart i_want_to sorry never_be never_be maybe my_time let_it oh yesterday path lead,rock
fine let sleep dog lay mind bed make of_time fall may leave behind let_the away never_be money drug love love never_be party love cause living say_i take space well_i knee pray i_need your_love i_need your_love,pop
yeah_yeah yeah_yeah yeah_yeah see kiss the_wall you_want love_you make_you real fall wanna scream shit something i_know demon low even hear the_way make love_you leave the_way you_take brain yeah leave_me slow you_take brain yeah leave_me,pop
i_get money spend i_get money spend i_get money spend i_get money spend i_get money spend man young money hop city bad bitch wave get_the drink get_the though stop stop stop stop stop stop stop stop i_get i_get i_get hot work open hit_the hit_the open,hip hop
break war still go raise send dead man blood make stand drive back_to the_water destiny call fall land son go raise send dead man,heavy metal
hey in_love my_heart hey stop my_foot the_street hey crazy my_heart_be beat like_a my_heart_be beat like_a my_heart_be beat like_a man you_get burn the_fire hey read cause they_say kiss kiss kiss kiss kiss will_never stop my_hand the_air yes in_love my_heart_be beat like_a my_heart_be beat like_a my_heart_be beat like_a my_heart_be beat like_a my_heart_be beat like_a my_heart_be beat like_a my_heart_be beat like_a my_heart_be beat like_a,rock
breathe carry away sky watch fall away sight sound open light spend night alone in_love in_love home mountain top a_thousand mile the_wall new stay inside i_wish stay cause_i would make_a the_sky hang take u high sing the_world away silent dream blue be_right to_take late night_and still wing look go,pop
the_last tell_me nigga tell_me the_last free give_me reason the_last round catch em the_last free give_me reason the_last round catch em the_last wake_up death shot rest nigga round shit like_a call nigga get_me hand wheel father livin hell let_me live the_street cause peace gettin world nigga fuck em war path bad boy the_last,rock
care child go_to sleep keep year wish come true warm no_one want_to go bright to_know tonight wish come true may wish come true,pop
car get catch without wait wait_for train wanna catch wait wait wait wait wait wait wait wait hot stop somethin somethin my_heart get train i_take think people watch car think look_at wait wait wait wait wait wait wait wait cool stop somethin somethin,rock
yeah something go right yeah something go right yeah something go right hop right right right ooh even hold_you even care even even care in_the_dark in_the_dark in_the_dark dream world sit next cloud cloud cloud sit the_edge look the_end road look space space space good you_go well take_it take_it back good you_go well take_it take_it back self self self think thing will_never change feeling back still still remain always hurt,electronic
stand new yet bone grow you_feel the_pain hang run round your_mind hang the_edge cause_you place hide inside,alternative rock
keep secret well like my_eye keep tear my_face lead keep secret well like close my_eye the_last time past go keep smile carry ask keep secret well see deep fell keep secret well ask keep secret well like keep blood wound deep love,metal
the_city look pretty day phone call wait you_get back home go so_long friend you_like stranger stranger you_like best friend oh well thought the_one come reach get sad bad maybe never come city take soul enough good fill you_never say mean friend you_like stranger stranger you_like best friend oh well another day you_get to_go,indie rock
wait_for show tell i_wanna_be woman come_on man feeling understand love_be really strong i_wanna give_you my_love far go come_on show wait,pop
far_away come talk i_wanna like girl a_little old use your_love tonight i_wanna lose your_love tonight i_get many friend leave_to talk_to nowhere run trouble you_know stay the_night keep_it use your_love tonight oh_i wanna lose your_love tonight try_to stop my_hand cause somethin sense since hide the_way feelin,rock
you_know lose sense step get_to break blind wake_up new oh oh oh oh change the_thing oh oh a_new oh oh human the_past mean last,rock
oh_oh_oh oh ooh woah oh_oh_oh oh_oh_oh yeah_yeah babe yeah_yeah hey oh_oh_oh oh ooh woah oh_oh_oh oh_oh_oh yeah_yeah babe yeah_yeah hey one two right three four step inside yeah see my_eye beautiful girl look fly ah look five talk next thing write yeah_yeah_yeah look_for go check you_say damn really get_it goin one two i_wanna take_it fast i_say slow slow i_gotta make call keep_it low i_believe you_wanna talk make love five next thing my_name,pop
look mirror side see blow my_mind try_to deny run always race run get_to tell_me inside be_bear easy way easy way read dead lead child the_past time move fast,metal
wave sky living eye to_see nothing the_moon the_sun touch sky move hope light open voice fill the_air god make raise word flesh blood act magic begin work move force call earth,rock
you_make want_to live you_make want_to live wake thing party strike upon skin sing voice like_a break beat life begin beat life begin you_make want_to live you_make want_to live the_thing the_thing you_make want_to live the_thing the_thing you_make want_to live,electronic
talk_to no_one home girl to_get close ooh alone hit smile try_to play i_know baby style play rule i_know fade oh like_the lonely day away two time talk oh pack bag take_a walk time gotta say tell_me leave i_wanna know tell_me leave let_me go,rock
livin livin livin catch fire dance flame feelin in_love feelin in_love feelin in_love burning desire wait space last chance shine i_know_that make_it alright gonna put we_get the_night the_light your_life stop give_up sign yeah stop time the_night we_get broken chain rain day never enough never enough cause never enough always dream still believe,electronic
you_say lead never give your_heart feel hurt gettin take you_know somethin leave your_heart fill real love_you the_last drop baby_i stop enough stop start fool would steal your_love like_that seem lie start yes baby_you gotta chance word come straight my_heart ooh baby hurt deep inside forget cry,pop
wonder say_i around around stay away i_wanna hold_you tight hold_you tight would_you mine call mine you_hear right wrong baby we_get wonder say_i around around stay away fly ready_to play around around stay away i_wanna hold_you tight hold_you tight would_you mine call mine you_hear right wrong baby we_get,pop
easy thought fly your_head tell_me choose would_you alive dead would_you alive dead cry ask well time_to begin you_go to_say yes you_go to_say yes cry love your_life everybody love_you yes love your_life everybody love_you,rock
kid get_your car full_of music gon everybody everybody yeah doin you_know yeah_i get_the one hand wheel to_get funny thing fuckin yo bitch okay yo lay low get like yo say pull put would i_let run play the_street foot three bitch like i_get one wish look_at i_never fuck face fade,hip hop
nothing seem_to show feeling the_people never change talk though show easy you_let go leave you_turn song everything feel wrong so_much to_see lose lonely lonely lonely lonely lonely,rock
home set two back_to you_know hair home me_cause bone skin begin home bed since back_to clear room you_know home make space,indie rock
weak though play like_it hot cool be_bear life i_like wish put time want_to one life enough blind the_light sleep cannot wake_up step run away hide heart alive never die never get enough sweet be_bear rule,electronic
good night yeah breathe wear go my_mind stand right look straight the_eye say_that pay well yet go wrong hard_to strong you_know my_mind stand right look straight the_eye say_that,alternative rock
yeah nigga talk shit act like money good get ya fuck head blow nigga you_know talk shit man matter hand stop em talk like_that talk shit man matter hand stop em talk like_that every cause nigga shit cause stay two shot i_come talk stop money long make get shot blow hour talk bout stone rock i_get catch drop kid shit big bad man shit music like gon eat gon love_me like love turn kid nigga love_me like love tell_me cause nigga wanna like_you use_to like_you,hip hop
i_want_to go right safe would cause black i_want_to ride away space the_sun spirit space belong fuck yeah like crash ride the_wind my_face miss free bird free light the_wind leave_me alone easy let_me ride space space ride i_want_to space ride,jazz
talk_to huh uh uh uh huh ooh ooh i_see_you ooh talk_to uh uh uh ooh yeah_i fuck bitch uh huh uh huh your_name tell bitch drink ooh you_know_i stay fuck damn talk_to uh uh uh talk_to uh uh uh ooh uh ooh uh ooh uh uh uh ooh uh uh uh talk_to uh huh real drug wake_up wonder to_get fuck ooh god shit stop even get_your damn still drug house ooh bitch forget the_day meet huh fail two two i_like drop make_a next day ooh yeah_i find ooh three i_go damn get crash leave good sell still ooh tell work cause learn sell learn read book,hip hop
uh huh you_get read line you_get read line line you_get read line uh uh uh uh late the_sun goin call call room lookin room room wonder little leave the_door good open your_mind you_get read you_get read line you_get read you_get read way gettin room full_of little whole try try search_for reason change like_the well soon one,pop
ya uh you_get let know_that to_get get_it way get_it you_get crazy call crazy nigga they_say call red stay long enough and_get enough people like_you get_your run around to_make friend somebody right friend like_that fight and_get you_get i_say hate hate hate i_say big man you_think know_what nigga damn shit oh,hip hop
just_like rain broken mind fall drop touch touch like the_end like stranger fall head something real never_be u stranger fall head something real never_be u memory easy leave lonely shadow hold tight fall,pop
roll lose control ah the_night make sense oh take_it shake body soul two arm reach far go get away cannot turn far tell see chance oh_i know damn well ah i_know come tell_me stop run i_keep run run right ah i_know come tell_me stop run i_keep run,pop rock
walk the_air sky the_people far sleep fly hold tight blue find fly high across_the world go like dream river child open take nobody believe eye the_air sky mountain low deep sleep,metal
time pass go fast die enough set sight high face your_mind the_one cross my_heart cross cross my_mind cross path cross my_heart hold breath space time soul touch something heart soul heaven hear_the lonely cry close my_eye i_see sweet smile since you_come talk,pop
apart like two my_love heart grow time heat please take_me back_to flame i_need run like stranger different face eye burn flame be_go feeling go mad lose mind space the_dark my_hand take rest your_heart,rock
return i_believe this_world turn sorry the_thing look_for oh heart stop game game sorry the_thing look_for the_water line the_water line reach my_hand race win my_hand,rock
shame think crash earth burn yeah fade like_a dead star woah oh be_come yeah come everything fight fight fight fight shame think you_want make_you wish fail,alternative rock
party fell deep someone reach rock ah ah ah ah rock ah ah ah ah rock everybody somebody go saw rock rock rock ah ah ah ah rock ah ah ah ah rock,rock
keep grow can_feel breathe try_to keep grow can_feel breathe try_to keep grow can_feel breathe try_to keep grow can_feel breathe try_to keep grow can_feel breathe try_to keep grow can_feel breathe try_to well_i reach well_i reach well_i reach yeah_yeah_yeah yeah_yeah_yeah yeah_i reach yeah_yeah_yeah yeah_yeah_yeah yeah,electronic
the_sun sky the_shadow gonna return alone back my_mind burn i_see beyond leave around i_hear someone scream voice oh back your_head life hell wait_for god god set free soul call dream remember your_name wait_for they_say,heavy metal
the_ground the_light cut stone reach the_sky of_life in_the_dark rain mountain sing sad song wind the_past dream dead sky tree the_night fall upon father shadow forever sleep head wild river voice carry land felt land dead the_fire burn forever in_the_dark rain mountain sing sad song wind the_past dream dead sky tree,metal
wake_up wake_up bird sing i_know come way_i afraid would face the_world open your_eye sing,rock
well sit right my_head my_foot wait_for walk follow the_way house always ear always ever cross your_heart hop voice your_head cry meet the_eye you_go sure cut dead step outside well stop think_of to_say you_know get nothing_to talk nothing happen yesterday i_ever i_think go never mine spend,pop rock
take_me world wonder let_me come inside room you_see nothin state girl side lie way_i stop girl rise fall way ride ghost train ride ghost train stop past bear one story high the_night the_day take_me town stranger land you_find train leave i_get my_hand,pop
ask read write the_night you_really know good cause worth whole brother you_know run away hide see cry you_go you_say you_really close the_door away shame brother you_know run away hide see cry you_go yes tell_me you_see right lie lie hide sorrow the_night,rock
move side move make_it side touch make_me rise get_to move side touch ride you_make come_to side you_want i_would the_thing you_know the_one you_make you_want to_say you_want the_thing the_one you_want i_wanna angel eye i_wanna angel eye hold_me baby hold_me to_love right love_me baby love_me hold_me baby hold_me move side touch ride you_make come_to side i_would the_thing you_know the_one you_make you_want to_say you_want,pop
push come five year leave_to cry cry guy tell u earth really die die cry so_much face i_know lie lie i_hear house boy brain hurt like_a room thing everything people people nobody people somebody people i_never think need people go head hit child black pull i_think would kill broken arm wheel kiss foot throw sight saw drink cold long smile wave look fine song cold rain felt like thought i_want_to get back your_face race the_way talk kiss beautiful walk,rock
you_think ah you_feel you_know ah real you_think love_you baby you_feel baby you_know ah ah real ooh real your_love my_love my_love your_love you_think ah love_you baby you_feel baby you_know ah oh ah real,pop
soul like hit_the truth escape rule hate something small two get i_make room oh storm room belong oh scream call_me scream call true power nothing_to i_still remember,alternative rock
hit good one bitch my_face money see pull watch door bitch my_face money see pull watch door bitch line hit bout sign always gettin pay bad bitch new bad bitch say_i gotta go bitch blow town get_a lock hot think we_get bitch find start small sound,hip hop
long go heaven go wrong time so_long like yesterday miss em so_much i_let go my_heart_be full_of hate bleed love father to_say self alive still see_you fade away still feel though away long go heaven go wrong,metal
the_day try_to catch come round cause_i want the_one drive mad my_face the_day catch i_want the_one drive mad my_face bed lover sure bed lover sure i_want the_one drive mad my_face,rock
my_head hurt bad to_feel bad turn phone i_get low i_put my_hand i_try_to stop the_world move fast try and_get life and_get my_foot go back_to the_earth go back_to the_earth go back_to work go back_to the_earth yes go back high rise everybody want_to get_it high move in_the_sky well high grow old lose sight land place space cause home grow go back_to the_earth go back_to the_earth go back_to work go back_to the_earth,pop
turn the_day hear voice cannot call home gold silence wall close think thing cannot call home lonely road gold be_wait be_wait heaven call clear light cannot call home let_me let_me path gold turn hear voice cannot call home lonely road gold be_wait be_wait you_say my_name my_name song,rock
grow body be_bear tree play u u every bird be_bear every wing fly around til stop let_the heart move til the_earth touch the_sky deep bone a_thousand home time you_feel alone find be_go behind the_wall watch fall though lose the_world find be_go sing like_the earth dance skin the_future living begin,rock
tell_me make_it good make_me good hold_you learn every never baby_i get hard sometimes wing help fly wing help fly cause_you i_wanna cause_you i_wanna help love_be love_be safe to_say your_mind hold_you tight cause_i love inside,pop
dance my_mind dawn of_time crawl dream see night your_head hold high lie you_come open sky real nothing stay i_give time_to steal my_mind across_the saw your_face bring_me you_take back inside light night you_go away,rock
bear different cloud the_one round town free just_like gun still live time sun gonna shine talk_to this_time i_think get funny you_think funny funny bear different cloud the_one round town free,rock
one two three run wild search_for catch my_eye in_the_dark get_the love flame i_know_you know_that sense your_eye i_think wrong move the_light get_me fall knee ooh you_get get get_me right you_want tonight baby_i mind huh one two three the_edge yeah ready_to,pop
alone turn_to i_try_to it_feel like fall lose round shoot back u die die u really u die die u really every word you_say feel_like like_a back kill kill every word you_say feel_like like_a back kill kill start end get the_door reason pretend lose the_fire i_see cry cry feel_like cry know_that lie know_that lie i_would tell_you i_still believe,electronic
make_me love_you make_me love_you you_make my_mind take soul you_like fool have_come voice never never reach make_me love_you make_me love_you you_make go the_fire burn make everything ever see ever know nothing live breathe flesh blood alive you_feel nothing clear empty sky light you_see,alternative rock
hey man every every talkin talkin bout and_i_know and_i_know everywhere talkin tell_you hop hop never gonna stop ah never gonna stop talkin red yeah you_hear i_hear ya babe ya hear i_hear ya red yeah go go close nobody know_what go go close hey man man hey great to_see hey_hey still black still black still black still black try to_get black i_believe yeah alright say hop hop ah still black still black still black never gonna stop still black still black still black alright,pop rock
face the_night the_light memory still saw blue read still remain make silence still return cast like_a blue catch smile break breath seem_to tear eye blue blue memory still saw memory still saw memory still saw face the_night the_light memory still saw blue,rock
low take_my time_i feel_like my_mind it_feel like my_life mine low take_my time_i feel_like my_mind it_feel like my_life mine i_wanna_be alive i_wanna_be alive die today die i_wanna_be alive i_wanna_be alive die tell_you shit talkin bout think pray somebody save my_life even matter i_know hurt deep show i_never call i_never home nobody phone your_mind they_say every life nobody care mine low take_my time_i feel_like my_mind it_feel like my_life mine low take_my time_i feel_like my_mind it_feel like my_life mine,jazz
it_take five woman to_get my_mind it_take five good waste time take five your_face love you_never win cold one way one look_for the_sun look_for light since you_go away bring this_time woman say want i_tell blind love someone know baby would never really father cause_i still cause_i still cause_i still still still huh stick it_take five woman to_get my_mind get my_mind baby love you_never win,pop
smile move different broken promise spend heart let see u wear hide never let know u soul inside feel_the hate foot long mile say the_word forget choose to_say wear face you_see hide tear eye heart touch since grow cold wear lie behind door the_time cannot away burn leave deep within face line say fine behind say fine ask,hard rock
feeling understand sense i_see land wheel turn keep line new time and_i_know along human reason get break i_say i_love_you help grow keep line new time feeling i_feel oh strong care far wave life save keep line new time,rock
get your_life you_take place line may close your_eye please try_to keep_it clean you_see everybody get fall your_face the_way get_it together like_the sun in_the_sky fall rise help survive just_like carry would ever survive pain just_like burn hope find spirit your_mind nothing ever can_take away mountain move faith,rock
huh uh uh uh uh huh uh uh uh uh oh uh yeah tear hate magic alright phone pretend try_to and_get along ah ah ah ah get along great great ah ah great great yeah_i remember magic come watch back alright alright alright oh_oh_oh oh_oh,rock
will_never will_never come will_never know the_way it_feel will_never fall fall around will_never will_never will_never tell_you walk the_door hour strike will_never you_see baby worry nothin i_know you_make since let_it begin cause somethin make room much bright place seem your_face something smile leave light leave take_my let_you lead promise land no_one ever promise,pop
call_me be_wait wait my_soul always song love_be strong take_it begin fall make call you_feel free to_make home ah oh would so_much sorrow please please please get touch strong enough may never end would pretend fall,pop
first saw love_and time touch felt love_and this_time still the_one make_it look far come take_the long way we_know get they_say never make_it look_at u hold_on still together still go strong still the_one still the_one run the_one belong still the_one i_want life still the_one still the_one still the_one kiss good night nothin well beat together listen look_at,rock
fell in_love saw fell in_love fell in_love last tell_you you_tell_me yet still to_make love last night baby please tell_me my_love baby boy let_me live the_way want i_want the_world to_know gotta let_it show stand together choose oh my_love i_think talk u crazy dream dream dream cause_i know sure you_feel i_know_that you_feel i_know_you feel_the even though feeling right feeling right i_know_that tonight and_i_know you_want,pop
another another another raise another the_future well pull i_think fight i_know i_know_i know fight tonight kiss the_world one one self fall close your_eye sky another another another deal well make well_i raise,metal
place sure fall so_far moment your_heart take care dream the_ground get the_world seem wrong everyone learn strong take care dream take care dream take care dream dream,indie rock
different son begin put magic power fear chain the_world fate break chain dawn god final fight break_the magic chain war god hand cause_you shall damn old god destiny shall fight meet fate,rock
please this_world see well time please seek truth think pass,hard rock
make_it right to_feel somethin i_feel like_i so_much even feel nothin and_i_know sometimes might hard to_love even though may show i_need i_think back track i_feel lose learn people friend would stick rock love_me cause i_know i_see money change i_see money change i_see change cause shit i_get like real ever since i_get since stop doin wrong to_feel somethin i_feel like_i so_much even feel nothin and_i_know sometimes might hard to_love even though may show i_need,electronic
get_the love get_the power understand girl hour your_love show i_love_you still take way many chance my_love i_remember talk town get lonely turn your_love around you_turn show_you turn your_love around without woman make_it i_need oh_you let_the lady take_it away,jazz
yeah_yeah_yeah ah oh_oh yeah tell uh control girl know i_hear ear word hear and_i_know ring think ooh i_hear girl i_know_that good ooh i_hear girl oh_oh_oh love oh_no leave phone gon girl way cause_i play play sure reason reason even i_think someone yeah kill,electronic
give easy give you_get say_that live forever i_know_i know blood hold tongue cause work fall follow like old learn like old learn to_see see the_eye train tell_you look i_think your_mind i_think your_mind give easy give you_get say_that live forever i_know_i know,indie rock
make_it hot make_it hot make_it hot make_it hot fill talk i_know mine you_see yeah first come come come big big game sure nigga i_gotta talk cause_i live fuckin believe til nigga get_it see_you hit hit we_get back_to big nigga eye good see em like hate em see em like em em like meet em never give_up give best you_never know_what good turn fuck nigga next,hip hop
come_to fight arm send demon deal storm inside can_take fire back_to the_dark the_night pray this_time die die die tonight die die damn the_night come blood deny lord forever die die,heavy metal
something something i_know i_would feel so_much together stand one make_it good something something listen uh huh oh_you understand people say good oh woman and_i_know man get_a oh_oh i_know_i get_to help em something something,pop
see forever this_time truth nothing new walk empty street never end nothing touch my_heart tear apart the_dark deep pray come king felt people go get high drug make_me warm promise die race touch save grace beyond the_dark i_hear sing the_future bring burning drown,metal
long clean bad mean home lord green be_bear land though grow shall fight land shall die let sun never set land hope land land hope land love,rock
yes put of_life end death take fade the_light away shadow fall sun last alive green turn_to red start fall dead come crawl life way dead leave come fall the_air the_rain i_feel i_feel burning time since the_night take away,metal
the_eye child arm woman heart seek leave_to wait_for tomorrow u stop the_end_of the_world the_end_of the_world hey the_end_of the_world smoke the_sun fade green see_the true face the_truth too_late,rock
black the_water in_the_dark fear clear become next piece piece life still smile eye death tear flesh black eye turn white every end have_come like_a blood hit run bleed true love cut flesh bone around hundred year survive bring heart stop fear smile eye death tear flesh black eye turn white every end have_come,metal
til i_make meet lady take_the the_one catch sun leave_me skin i_think grow i_keep go go go right drive rain fell in_love miss train take_me right back home high low yes oh hell rock roll save ooh_ooh ooh oh_oh ooh_ooh ooh_ooh ooh_ooh,rock
today word wall i_see lie lie lie i_see lie i_see word i_see move fuck i_see i_see lie lie lie i_see lie,metal
head the_light day get love angel the_way reach love my_life i_find always one step behind be_mine head the_light day get love need afraid spend so_much time my_head cloud foot the_ground i_find head the_light day get faith tell_me okay path eye somebody tell_me i_look like dry my_eye,pop
angel high one believe the_word son give lord angel send peace baby boy mile reach yet no_one god keep safe hurt warm away wait_for the_earth come one child change the_world king king be_bear let u lord,pop
seem front bear house gun see_the body life pass father son the_future steal eye time_to take_a stand never arm men scream child fly gun fear turn cry hell demon time_to take_a stand never arm men face your_name place pain time_to take_a stand never arm men,metal
life gold sell babe break back take_it easy boy wanna feel_the my_head to_say lose get_to use saw safe say cool your_head state,pop
boy girl round story time check i_say i_wish try never you_like enough i_say think fly well_i i_say well i_let pick would matter cause_i think cool come_on man i_say funny even i_know cause_you tell_me you_like girl lie girl lie pretty face oh word cause_i might find_a girl make_me i_say yes nigga wish_i i_say you_really might,hip hop
goin till i_let you_go livin fast blind get put love run i_know true i_know true try_to memory never last cause every night you_come back_to goin gonna dance alone till i_let you_go oh goin to_get my_mind love tonight goin let_you go goin goin let_you go goin goin let_you go,electronic
like_the clothes like_the like_the shake tell_you make_it tell goin nowhere goin nowhere like_the like_the show i_like you_know i_would say goin nowhere goin nowhere take_a ride baby hop inside maybe baby find_a way_to make_it okay hey like_the like_the sky like_the shake look good i_would say goin nowhere goin nowhere yeah oh woah oh_yeah yeah oh hey_hey oh oh hey_hey oh goin nowhere,rock
god god i_know god make everything make_me make_you bird blue without eye to_see they_say god make land man know good true god god know everything call love god god i_know god make everything make_me make_you bird blue without eye to_see,rock
